Protein1,Protein2
6733,29116
10713,23020
23136,81839
132320,51079
925,84708
116840,6749
3704,8636
6199,10521
51639,79084
1017,1968
333,5621
7415,9532
55832,65008
4141,7407
8078,178
80306,23327
11315,4722
23450,23560
10569,79002
51426,8554
6733,79576
23107,293
6495,11007
170506,50628
8440,100128927
5201,51763
79091,3312
152185,84154
5430,27339
10362,10992
9775,3183
2057,11273
3007,9349
1994,26065
93185,3187
27429,23042
1977,7189
403,55791
4223,10193
9694,83732
124637,1345
118471,5451
1660,58
54507,64333
6199,4076
51021,54148
4236,9589
57035,10419
10014,2806
10642,57418
1080,10527
2801,59339
23524,23450
11326,2324
8667,3646
25936,25936
55048,80778
6138,6146
6714,10657
3309,3398
51497,6205
6390,55847
84365,58506
114790,4089
5705,11319
56949,7536
377,23647
5905,5905
10933,71
53615,8467
23770,5686
9025,10600
10014,9054
118924,8220
7741,79038
153769,10298
4848,56672
6657,2059
9477,9446
3184,170954
51588,4092
55605,8031
8453,6160
1401,10319
3178,3008
11339,128602
23583,337879
6310,9898
23144,55132
164127,342574
116840,11198
3725,11016
23398,4670
358,4591
7014,7402
1213,7132
6453,5204
3320,26190
805,23216
3727,4089
55142,9147
2110,51079
389421,51808
5595,154796
29886,92840
2099,5432
407,1856
3192,58509
403,197131
10421,27336
54165,57799
284338,375791
54764,64147
2033,208
2646,22933
2099,55661
55758,57159
1017,5976
116285,35
1660,6181
1039,64927
55588,6632
2582,34
11140,92840
4223,23534
55840,8178
11346,1212
27327,64518
10551,64324
3312,7311
7251,6311
10014,5094
1017,4069
10645,5563
1080,3326
5347,7917
5300,5770
132158,155368
60,3161
9318,10513
1994,125950
2801,9610
5621,1267
3171,6119
10284,8467
9559,55737
10606,5313
1981,5062
65990,51631
54935,60491
7203,8892
1854,8266
11052,4343
81628,23291
56654,7027
836,6709
1734,6921
9972,5594
1938,7532
178,2739
29763,3312
6119,7156
51259,163590
2908,7251
57122,9631
6117,84033
1654,8449
92399,90624
4116,6629
23759,94104
6197,5170
51422,5198
7013,79047
8350,3835
10014,55832
9702,140465
28987,55720
1147,805
10921,8896
1994,10270
1459,64061
2266,5104
10419,6745
18,223
23517,56259
55140,56897
8636,9463
10342,6714
4712,4718
143425,9378
5874,54843
83897,115817
3309,4691
6901,56983
29086,9525
10075,56926
51741,83451
23166,4209
1994,83930
57122,9818
56257,4809
5119,27183
3735,5917
23028,5931
1654,7307
6602,1964
11212,5504
7329,128866
2801,64927
5142,5142
4089,51586
10946,80145
2805,3945
10419,11140
8453,51138
6687,10197
5701,10197
1802,3605
64805,3709
367,10399
23197,7314
57175,9894
4343,84747
2099,3320
10987,80349
23184,27131
29089,10425
6310,4946
51548,9733
10733,11190
5127,1459
55011,116143
79727,6636
114898,80304
1017,55698
22933,8560
56931,91039
27336,51428
6117,9320
7494,8939
4343,4835
55048,157556
3073,9329
2882,6449
6205,79590
94234,8602
11344,9601
5264,7024
5347,55857
9400,8940
5478,10444
26053,1460
9451,9451
6790,3551
10992,79084
25778,4085
9119,10152
79813,89870
23398,7307
1153,6629
10419,11091
9967,9969
5201,9742
51741,5431
1080,6921
25804,79002
5692,10054
55110,80764
27292,3608
1488,23028
11012,63917
10987,6194
1655,51755
83987,9782
79991,9440
117246,54552
57658,153527
7341,8349
1016,1016
22832,6742
3932,5781
170463,5300
6446,4137
22948,10989
54455,9978
3024,23223
10482,9467
3184,60
116115,57486
57602,56919
54165,3312
1994,55253
80233,7156
10524,9894
3320,54187
9775,10482
51116,84844
6217,8717
7319,23352
51259,1947
10038,1058
3187,26065
5976,4716
5682,9670
7351,1470
7415,56897
10146,56259
4223,63027
7337,54812
6199,22870
284427,93343
6667,5599
55644,8270
27156,51350
80254,55559
1470,375791
3551,83696
409,6709
140462,5861
4055,23144
51639,64960
10197,85403
2296,7024
55284,26001
7314,8916
2622,9278
55832,6634
10419,3065
1647,197131
80279,65992
6625,7307
11059,7321
208,2099
5605,8844
3846,51655
11339,56478
327,10527
54443,22832
84955,1659
57602,142
5966,29922
6810,63908
3608,7150
22870,2181
5702,65244
2688,11171
3178,10949
56257,27339
9587,1915
10771,23524
22907,7311
142,10498
3320,26137
11338,81027
5728,6386
6790,3309
2100,22794
23327,7334
51300,54940
4702,4724
6934,54973
51154,57510
8942,2108
3665,26046
2539,4878
3268,58513
2033,5371
581,597
57122,285367
51021,7818
2735,4087
80006,51112
1856,79869
10482,25875
6901,4041
51028,51028
10498,3021
51602,6157
1994,6789
4799,3187
23557,9001
54788,3306
644,10325
4591,11170
57332,84656
3326,6134
11160,3308
2217,2217
5568,8348
342371,6601
23291,23192
4670,6635
8522,10897
7391,6878
7529,23380
25885,3191
8467,6304
8350,84529
708,79711
25885,51202
1994,255919
65084,9759
9533,152940
23623,220164
6124,6181
10159,8766
93185,25873
57506,79654
27101,27018
26354,9349
7014,3308
1654,23020
11116,5567
3021,3021
154796,1739
10875,6744
55090,7311
6634,9716
10921,9733
3702,9047
11260,9061
6553,409
132320,28952
1050,2099
3932,7419
10628,3065
9610,5900
4830,6095
7278,91749
7113,10559
476,1537
80149,80149
10987,5052
5432,2959
129401,91419
255738,10294
1994,1854
3320,1938
2521,201134
10036,6598
29911,55633
1738,5160
7013,90678
24148,23450
1994,8766
26015,54843
10987,10643
93185,10594
7311,9045
23404,51559
170506,51021
6667,55729
65008,9801
145508,51194
7430,27068
11060,26952
29105,7307
80184,121441
55003,6137
11052,6601
6117,5984
1938,6122
5464,3704
1452,58
23107,509
1495,3551
56898,56898
29110,4791
5970,7874
7014,29803
4869,79009
4343,6892
23647,51100
84530,171483
9694,10518
1938,9221
5683,5711
9045,23378
5058,5894
10075,3308
6708,440836
26146,3312
3454,1173
1869,6689
10285,6632
10062,54556
81850,126070
581,331
9128,9416
4302,80817
5250,51263
1408,7415
4704,4976
5728,5728
55832,9775
3396,27440
4170,8658
476,790
80184,79441
23450,7536
26011,84914
23091,9412
4696,4713
6890,50628
10978,7307
11346,85464
3065,7411
84708,221935
11052,9129
10642,10644
6160,8342
7013,396
24148,51639
26232,197
3015,8996
2130,8572
94121,94121
10399,8350
2011,23122
6182,29088
5860,60491
91653,1499
5933,5245
10539,2730
4478,356
4343,5245
2962,3192
6733,51479
151,1967
28952,11234
2107,54931
79885,22984
5236,6285
3192,3396
5685,5718
4665,5985
1917,6132
23524,9716
208,842
10657,10152
10075,7314
8549,84133
28957,84311
10450,5356
51340,8559
6901,23061
3399,8543
4697,4706
54764,148103
4000,90861
84708,159195
5347,58491
55293,55905
5728,8471
2521,6124
9825,84445
4255,7274
7013,1936
79959,84285
5710,10130
6880,8189
5970,9093
51429,51429
27336,6829
908,2194
2130,3792
84844,9349
4715,4704
56850,84708
6045,1459
84759,84675
2778,58473
7322,1027
64969,9775
10152,30011
23759,8220
23291,9663
51741,56949
10014,54331
28977,65080
5800,71
467,3399
55832,8270
8559,9416
2821,3098
7013,4926
7031,58500
10919,7157
221302,10419
23144,51263
6124,6192
51593,23450
8676,90933
900,8451
55771,64318
10919,58508
85294,494514
9439,5257
27043,2099
25804,6431
8440,84221
2962,6603
6934,54894
128710,79447
10482,3035
25777,5568
9913,9440
3192,3191
55823,7021
6780,2109
84062,283152
5626,132158
10159,22841
5710,6233
163,56158
4869,4869
25906,51548
5500,6992
5300,6647
28957,65008
3024,5073
26156,7150
2099,10001
3480,9342
27292,55588
5831,58510
23524,7415
5500,10097
51251,954
9530,26039
23028,2661
5530,572
10919,7027
10286,11339
56259,5511
5499,9663
51690,8896
4343,23513
10285,10569
81,84708
2255,55145
4869,55661
55605,22841
4223,124540
2011,23332
9618,10573
4869,8350
51649,64981
10514,10891
4159,434
3029,5052
5595,84280
6612,10208
4287,8841
8202,6708
4809,7189
10594,58509
30844,22978
4725,51300
55810,116092
1147,2671
1627,4644
199990,100131816
79159,85437
11198,2961
6262,5576
5307,375791
10761,10933
9093,80022
9349,6217
4478,3309
6194,9669
55771,55299
142,3187
5573,22852
22820,22818
10450,51428
116443,116443
9669,8531
50717,10419
54806,22933
6780,9588
5976,9349
22826,22827
1021,1759
80204,9039
10521,10521
6622,81027
24148,5496
7013,2597
114609,5610
9119,23216
7923,84869
80254,80817
8625,11331
80230,9135
4701,7332
252884,80317
57096,9231
9129,11198
57147,431707
2800,5870
4763,55968
8453,23020
84675,7137
1647,2783
2130,148423
5300,10865
6045,23098
1213,7133
10285,8563
4103,84948
6736,11091
26206,100131816
11342,4001
10627,5250
4116,3185
83987,1947
23468,8350
54882,57464
2110,4718
7534,1027
11011,11011
54903,10910
57418,5976
29110,3665
10445,85294
4691,6146
54903,1315
30968,3192
5108,55609
9589,9716
8883,9129
23020,3550
29117,8290
6576,7133
9047,58473
9218,114885
6657,171017
11133,26136
51639,7307
5537,55697
27336,9589
1915,23450
120939,2219
8451,6208
3092,9516
83858,9349
10657,30011
1994,9525
79577,58508
1994,115196
11198,6601
55090,9532
26053,1822
8139,3801
8543,154796
3185,51340
192670,521
5626,60385
79727,5976
5375,231
1058,3312
5431,7277
59271,57498
1994,83849
8408,8678
192670,9349
10594,9129
4223,55132
10482,11140
5250,27089
6634,8220
4343,2589
6311,7917
1994,10521
26003,79959
8649,9818
64981,65993
26354,5976
1017,2783
7415,23332
5594,7132
9070,5705
51231,7251
142689,2739
10159,11060
23513,28964
57097,6300
3006,171023
5152,84457
4848,3692
1748,6158
1387,5584
1936,6829
58490,5905
23421,55839
3309,79801
7014,140733
4055,9618
6733,170692
2043,51343
83987,56926
2255,3698
7001,523
8417,6809
6045,5903
10426,23352
1017,57532
80263,51619
11171,11218
7484,4695
207,6789
11060,997
1053,4302
10559,23786
975,3008
65264,5987
22907,23560
118424,118424
7536,7332
478,79711
10615,56478
9924,6923
2108,24140
4110,84708
3161,2048
7329,3297
7741,90933
23149,7704
284131,317
1212,27327
1660,6632
4298,6601
4867,23530
2571,2806
2618,3308
10940,10946
3309,5728
10193,140459
5987,84914
4725,4715
9246,396
55929,85403
124995,51116
57473,6829
5599,7529
9589,9589
4223,11091
3741,7881
3033,7334
10419,9733
7024,11075
3192,55299
1803,7852
7385,79966
4194,5705
2288,4137
166,23623
5500,3189
339231,4356
7532,84952
5987,8543
4194,10111
9240,84996
51035,7353
1743,54148
192670,10294
4507,5861
207,29953
114,5144
2072,8349
79187,30844
6790,6223
23291,4034
55040,11043
6449,3320
4683,2956
3716,7253
51377,29844
9218,7415
9217,55341
107,5150
10482,140461
9775,79084
23327,51256
10112,29941
9759,7158
2521,9045
5165,10575
10981,90231
2033,8359
3007,55646
6634,84967
4867,8725
8678,29982
10277,55737
4356,64121
10421,4236
5252,84969
8775,6844
4680,1087
4697,4731
10014,29123
1072,5052
7158,8697
58490,5204
2071,8850
5499,8493
359,5567
10891,904
3399,6921
10594,79002
54108,2805
7019,64216
55660,9360
10865,116461
894,1028
26122,60
24144,6632
2099,2193
7189,5037
6119,253943
8687,115106
254827,3321
9439,54205
8539,55773
3932,5597
84164,5303
10142,10152
4691,83858
5599,64784
5977,6602
6045,3183
8662,6194
377,27236
1408,55832
10989,51649
5300,2280
10524,64769
51649,65008
6160,7311
3927,10865
170954,342574
23291,9972
28977,51116
51116,51639
56257,221092
841,29893
2064,51292
10240,51649
1994,5504
7704,8841
26523,9349
6464,3376
2048,9463
4170,637
22803,5073
11153,11153
79885,9532
4085,10567
50628,64969
6134,55646
145508,1499
904,9968
9611,2874
9293,25844
79921,9958
1022,1759
55729,6132
145508,84260
4298,22936
6045,51300
24144,6631
483,6223
7013,80273
30012,402682
3192,9861
28957,9801
4343,51202
51259,55850
4048,8407
54629,55207
10498,9666
11212,55256
90933,197407
56949,57461
2597,5245
79096,84060
26156,81887
9400,1939
51602,6156
57524,57524
10514,11331
84727,54514
51340,5356
11218,6634
5500,1660
118460,708
4843,9093
8355,8361
10491,80210
5534,805
1822,23522
10328,55831
5702,5686
10436,8451
8570,6599
10078,55837
8419,60561
5504,51015
7415,55147
3184,8887
5430,55140
3192,51021
124995,28998
10197,22913
6495,7448
5594,8649
1488,7329
6228,8661
9662,9817
51684,163071
989,9025
6733,79693
51742,85403
54460,64976
6194,6727
5440,5437
4869,205564
55703,6156
6446,6517
8892,23
9441,4299
5241,142
3608,6634
5431,54973
79444,79444
27336,5430
10987,9567
9775,6625
10101,5515
1915,10048
4869,10197
4223,6636
1660,10657
4087,476
6657,6598
79677,7158
57187,8220
27018,84080
54512,283489
25942,6605
9775,6138
7175,9688
4791,790
23371,92840
54760,6598
1534,55238
51377,5695
23326,23019
57787,4137
10284,989
5686,5692
5970,6035
10594,5903
10632,6745
4087,56850
4223,51292
11171,6634
83987,6205
1660,9221
23030,3308
5695,81027
5710,5071
5824,1537
4343,3841
7329,2002
163,27125
30012,83896
23020,57461
6612,6897
29110,7314
10270,10856
26039,159195
84675,57646
10460,7884
9276,5997
23291,740
9070,79959
55630,3032
5465,26511
5506,170954
10992,1717
27097,6871
6602,29946
148109,293
64222,79188
3101,4223
727,3792
3184,3320
5042,4809
8844,8844
27043,6138
23524,51593
5933,7029
3161,5595
1890,2597
23013,23398
9924,6146
5966,245972
27163,2077
51631,7150
23450,6635
1994,79888
1994,7786
23421,84335
9924,372
153090,207
6390,1327
1059,1059
3192,51631
54534,64981
7189,79666
6342,8409
1655,6146
7411,5701
1786,5883
79444,254187
55770,8408
51639,5496
11340,23623
473,2033
11133,255104
23107,54460
29796,4716
116540,54518
23020,4670
1627,818
4543,2773
1460,1499
161742,164127
2571,3725
11074,284312
11198,904
1655,56259
91039,4026
6198,983
2059,84631
9212,51343
7013,5110
6217,6228
5737,479
378708,91687
5198,51042
9182,5499
883,55697
4343,148327
3178,65008
4713,4731
6733,1022
8563,6157
85409,25898
6517,51340
5300,1642
4005,10302
1936,24140
1203,293
5515,54973
1436,6464
2001,83714
5626,6733
57159,64769
163,9550
4343,5316
6449,10449
26517,213
23166,66005
2733,2733
10594,1655
1196,6386
6262,5501
84916,23160
8079,3337
145508,23287
51706,54205
3964,153129
6223,25873
3192,6280
145258,3170
7328,81847
3550,7536
1797,1797
5830,11146
126129,137964
3098,9373
6640,10712
5435,2962
24140,11180
6625,9716
26147,54764
7189,9414
22907,509
5003,54902
4691,6132
5378,4343
55771,85364
3093,5966
23326,6871
57038,1373
998,6280
9296,9559
9031,23524
6660,7265
1373,9868
2060,1173
26043,6923
22907,26156
6304,51588
10131,1854
805,805
4343,537
10421,9491
51684,8554
1856,5562
5966,25977
51023,51263
23294,387856
2670,9402
126,231
5500,64651
509,6228
2625,5469
6484,55454
375791,375791
9093,10498
7341,5567
3320,84759
5682,84445
28977,8518
6047,7188
10056,8664
1891,3033
2,84106
4089,8543
3192,7307
1917,7133
2162,2243
1017,27044
10987,873
9975,9611
2580,367
27092,57380
55605,57661
3024,7570
51377,7167
84866,686
10020,84705
1017,26284
3551,71
6157,6217
10197,54819
53407,116841
7447,161742
11339,64781
5496,94104
3183,7329
5292,5300
4188,9670
63904,91419
5496,7536
1017,10632
3060,3061
1161,27089
1432,6464
81539,387923
29085,8498
9975,6878
51665,9343
312,3801
5108,9654
526,1434
9806,50859
6504,56474
10499,3798
7415,4926
7178,7178
64960,7818
6599,9412
79922,90624
147807,708
3799,3895
10987,4191
9098,11340
1915,5894
22832,1810
10514,7150
3320,317719
4543,55161
1585,4929
1915,81887
10014,4830
3654,7203
10992,3550
8394,1059
4103,8226
1994,8905
7347,2879
4204,11335
4809,8896
91694,130540
79885,9131
1432,55031
55646,55661
4841,4841
8266,6184
1994,23076
29086,25824
27125,904
25847,8697
11190,51649
26052,9456
60343,64581
6119,79869
3192,5970
10569,8559
1994,79228
5591,8467
51631,11338
79869,6223
409,6733
25782,27340
10865,130074
3608,9374
6399,5307
1058,80152
1387,65056
23567,6629
8531,22
655,92
1460,6117
2099,9972
9349,6223
10987,6464
5108,79649
1627,115548
79444,7323
10987,5432
57096,28952
207,3895
5683,23392
4791,51397
1314,81887
358,10656
5432,57508
30011,55114
166,26993
2597,5966
55683,9441
9045,6124
6134,6727
51527,5824
2874,3187
51222,1108
23397,29890
3169,60529
3991,5595
10131,10285
65110,54512
80184,84318
3716,3667
4869,3646
5781,79577
5432,9400
2304,1482
1173,3848
115703,375791
5042,6194
23468,65251
196,3169
8407,5245
10482,56005
83953,7157
51373,55173
5563,284837
6750,6755
23623,135293
5692,5824
2965,1869
64965,5690
8451,55827
51428,5496
11222,79590
3608,64960
23140,79654
10482,1676
5019,5931
4092,8237
27131,26276
8815,6605
9662,51015
10482,65094
335,5860
1994,199990
634,1087
55832,23567
23270,80279
5071,4666
7189,11201
1017,3187
10521,3191
8048,4618
4720,374291
1994,3998
2101,55629
914,5788
5599,7203
11228,80233
6301,5496
342371,29085
5996,10813
23157,23176
23013,4853
51608,5589
121260,51296
50628,6160
3720,121536
11335,79801
23136,60592
2099,506
9129,23149
10093,60491
8445,1743
5207,5209
4292,1938
3178,9349
409,7531
10413,3798
89884,374407
51035,11212
4188,94039
254827,100507537
11168,7307
5436,23064
4137,6622
23197,65123
170506,23405
2735,3065
1314,509
4223,375791
55602,494143
1742,3766
55284,64777
5876,7803
58524,83719
3458,3459
92345,9817
6271,5837
2130,10130
10342,26233
5728,53918
3725,50944
7189,5702
51702,6670
25804,94104
1748,23405
22827,22827
64400,10989
7273,200539
25788,25788
11091,84332
10890,5478
11103,22907
27257,8976
4113,6122
5130,6284
26973,7529
483,5861
6874,51434
1511,840
23770,10730
7157,5931
5733,657
219854,254827
6464,908
4701,23524
152185,57492
1314,6132
26298,1474
4194,2033
3720,10919
23385,51504
1022,5867
4188,254173
5966,6156
483,3156
3306,5693
29950,199990
4691,7088
26524,7532
7319,162427
57215,5705
25942,25855
1891,171483
51032,7157
1915,6749
4867,2617
5300,221504
5824,113452
5525,8313
2962,3838
51690,9775
4922,56947
84263,10131
1459,5728
56000,9802
9802,23327
1595,7363
5292,11335
3376,221092
10075,7534
23411,22933
432,3309
6727,10055
4188,84648
8689,149371
10987,23517
7295,9296
8539,146439
80184,805
2959,54760
3895,163183
4723,26092
1994,64761
5499,6992
8932,5987
117246,6160
26589,65993
84708,55117
5531,83858
7917,6844
1994,25901
1994,125476
2130,6631
64400,90933
7278,10190
10142,7532
22919,23499
26012,6829
166,7088
396,6714
57448,9212
145226,7322
5432,2071
7818,1453
7004,91404
54935,55088
8266,3838
51079,29078
8220,94104
9968,10594
7818,79590
5139,7812
1994,81887
1503,7534
29844,10445
163702,282616
10469,84464
6742,7534
51741,10606
5071,5720
6632,9343
10642,7307
25842,51160
22826,57187
3171,22913
149041,23264
4791,7203
5308,85293
9463,153657
55832,3608
6921,112483
4869,7534
1654,2130
145389,1528
1147,9276
83932,57186
6314,9913
163183,23310
5356,8449
1994,157638
9170,9826
6119,8189
1401,1401
9733,9128
11007,80125
1857,10197
5071,2101
6280,6749
8202,57591
5626,125965
4343,222068
7409,2206
6790,79830
79991,9969
7157,23481
57602,1108
1660,64960
8570,7001
1525,23054
339390,410
51621,25942
338,7415
5876,221937
9807,8451
118881,65123
3801,84080
6635,9775
55832,84365
1373,7534
3606,836
27257,84908
54910,1742
23398,9092
3294,6716
81559,7321
9938,80304
51340,23020
23512,29890
56254,7314
6794,1967
5025,23534
5683,9690
1635,9463
51592,11198
4809,6122
57693,147807
9533,9830
9439,10111
10214,84838
4005,84445
7054,816
5594,55576
4478,23607
26984,56616
5730,7021
28985,3149
26984,50489
1499,3065
3182,9140
1654,8559
55090,9443
5432,51497
2110,4708
4738,9349
30834,51042
6632,23020
4150,5058
79101,56342
25831,7529
1173,57658
162461,23327
24144,147687
3251,60491
57187,27250
1994,6874
1432,170954
18,18
5025,9653
29119,91419
8148,29115
10075,5423
23013,6628
140809,8239
3024,25983
57621,89884
27161,6748
2060,8867
100287932,55290
28956,526
57473,1654
8674,10490
5728,7157
27128,125115
1917,6194
2688,4735
10514,5094
10482,1388
65117,9191
2965,5435
84708,339834
11190,115106
170680,2125
7004,374355
27250,23310
9119,11043
10146,8021
54881,6194
4005,5966
11052,6294
51631,151903
58509,8559
6844,9342
26232,7332
26985,282991
8467,9031
10014,51726
10188,3320
26517,9274
3032,6821
27349,125950
5728,9908
4751,4085
85019,125115
5308,5351
84335,7534
5307,5626
6157,79084
314,6723
10656,79797
5682,283152
9463,166793
5276,6449
120892,5591
217,84264
5604,84656
2099,348
6134,23107
2060,8687
25842,1059
10521,6628
6790,5347
11218,5430
983,55858
2068,2068
5869,2108
1857,346171
5774,54819
27339,9589
2130,6888
2060,9253
7189,10048
5250,125988
84708,6620
1017,7175
1051,6688
54726,3337
8161,10197
1994,90268
10482,7158
207,8031
5430,9412
5567,55755
356,7341
84708,100288797
3751,23704
85293,91694
55832,10399
55602,8836
84708,4897
9293,9144
56904,80755
5063,8874
826,5499
54629,200894
10527,7534
5915,6258
79763,79763
3713,3713
10564,5903
9486,90161
7534,7531
139628,54556
10126,84656
23136,10284
9441,79664
5058,572
3556,4160
55610,55012
2101,1854
1994,24139
29844,29844
51690,9589
1994,9665
22978,954
6390,84311
2064,163
55658,1869
9559,9525
4869,26156
5966,8934
23759,9984
7430,9368
30850,79862
5127,22858
9416,5305
9101,57132
57221,5741
8313,8676
1408,7284
1432,6775
9463,9775
23450,9329
6446,3376
4738,1655
9463,9852
10197,1998
4728,5245
994,11180
51548,5425
51548,10038
23411,2099
900,24144
11330,6690
11052,6628
84295,6124
54476,7100
10420,7529
84708,284273
126868,152273
10286,79228
94234,22827
3396,10632
27429,9113
3233,10481
56257,124790
11160,10952
5686,5720
134430,84365
4824,7088
5058,3320
26148,3008
56888,5705
2799,10944
51514,11091
4221,8350
6510,7132
6810,5868
51373,64981
223,2571
112849,57590
9033,7137
10437,159090
126,218
3725,55922
23028,53615
10844,7277
1915,3185
29088,51069
4223,57473
3015,10856
25898,808
26511,375791
197257,23219
4074,4724
4843,4869
11338,55131
1974,8662
10240,79590
4704,4719
51127,54765
51324,55508
407,27232
28998,740
22913,22913
5062,2664
1994,137695
54148,92259
25873,3608
79036,81631
331,836
5236,847
8554,83746
9441,904
9972,55975
1994,6636
358,84616
9217,7385
65080,5297
64983,84311
525,55004
4223,9238
51184,51082
2043,1945
10848,10848
7157,112724
5300,898
375341,2033
83987,6629
6257,9971
3065,84164
1153,27339
5955,8717
91408,167838
23512,22984
3608,54521
10262,54819
405,135112
5824,10999
11190,51116
1938,3035
509,10989
56257,23404
1822,2130
150684,2033
23532,9978
10627,286826
5170,79768
4791,92609
4591,7321
80306,1742
7314,7534
7150,9045
102,3932
1936,5597
22894,11340
4343,64423
8697,983
3178,8939
1017,6158
51010,10767
8624,8996
1994,25895
409,5144
7917,221035
2878,35
4791,5693
5878,9847
7764,79813
1213,9798
8813,7704
3725,81
6182,55173
1051,7157
6102,135293
9476,353132
4223,7571
22955,51440
54165,3189
1017,1600
11190,3183
10128,2597
1478,26993
51013,134430
51593,58509
10569,9360
2811,3684
9628,55929
23433,84612
2354,3726
1915,9221
5154,6667
3846,339221
116228,54939
84164,81605
23786,51522
1459,8893
9441,4298
2,64223
29904,9261
10482,11342
5987,91647
56344,84445
9975,9975
55201,567
11142,11133
55660,80145
5698,5440
4802,79959
4188,51157
9682,9682
1655,29105
84062,55755
127247,7284
3551,8239
3396,80222
10319,91746
1915,6138
79669,166012
9702,3320
23219,2710
4000,1499
124637,1351
4343,10426
10856,5202
55233,81532
4116,54764
9457,79797
3993,7917
79931,84445
23025,831
2078,3185
6790,10025
1511,6318
1938,26156
10733,24144
4706,4718
3985,3301
5705,5693
8237,84726
55588,1024
3434,6628
56061,1977
7329,23607
6253,10445
10490,11342
54472,9666
51755,94104
84062,10490
23291,3178
367,6605
3007,3192
8797,841
1072,476
293,4000
1213,7415
51741,58190
8631,741
7363,7367
4089,5898
4087,4976
3183,83990
90070,7448
30850,51655
24144,64147
3169,3171
1153,29105
23405,6184
10464,91156
5601,207
3612,7358
207,5207
9711,23774
6640,153
79833,6635
5201,5720
10294,10061
2012,135656
5683,9978
5883,6117
23512,64223
5594,6464
11338,10521
84676,7347
1977,1982
3326,5042
1994,55197
3092,9026
8631,55621
3187,3932
10188,255426
4335,4335
8266,3308
4000,4000
4343,79892
66037,201181
25824,84936
92483,8942
23097,9440
6119,7277
2339,5229
6303,58524
57132,79643
9212,996
80184,10464
23204,9631
55660,23476
4670,6217
56257,6636
10788,5134
4236,4343
60,6709
4232,22920
7321,4683
2309,1499
9114,58524
10844,5917
7181,23028
55717,9589
10413,84936
9342,127687
1027,6197
23552,5690
7014,6625
2783,3399
9212,8776
3690,6714
5830,5828
53635,5300
2033,57172
1147,5970
6510,79735
4809,9221
90506,51343
84616,126070
55763,9467
2734,5970
4843,5717
2947,5062
11338,29115
331,7332
7064,808
79959,3306
58509,9984
4223,58500
1021,4926
128308,55052
80232,83743
1994,144348
23421,64105
356,3702
134492,9039
51259,6745
7013,221823
1642,80067
7276,4804
55715,23028
6046,5431
6428,10440
1478,155368
7322,93664
11338,6949
409,1072
1994,10475
2832,9240
9441,5469
55554,9887
23028,6880
3174,55629
1147,8239
8548,8559
9874,25842
10421,51639
7702,84304
51142,89884
1994,51228
55832,10146
84445,151254
5525,6464
3065,10771
80254,28952
10263,10320
3008,112950
5708,1315
118490,254187
6790,4069
1856,10445
2205,2207
1994,687
10397,55748
51666,2873
55322,84337
10128,1147
1642,10987
6399,83696
90411,3998
5830,51179
5119,5119
23291,54821
5531,7917
7326,9101
64965,51649
80303,7062
5393,10438
8473,1399
80184,51015
55048,115106
805,9929
5595,8021
11315,8772
23098,79671
55621,4735
4343,402
56949,23020
50813,84629
11160,781
140,478
10397,293
5604,7534
975,7284
2931,1495
7284,28960
7879,1072
7307,9785
8928,83896
5520,2597
7988,159296
6602,9119
7419,9114
23512,154810
4706,4716
166,79616
1017,1021
23512,8939
6733,57469
9793,9326
2011,4137
5063,6453
5887,7311
2130,3849
10576,908
55697,83451
8237,200933
2147,2157
92591,8359
6184,9782
6477,331
5356,55660
3550,9716
8631,5296
8453,8021
347,23786
1994,81
1660,51116
6132,7307
10498,57410
4343,79018
4691,55681
3007,6228
1153,84708
2060,2060
6045,2734
6790,1938
5204,10342
23,5719
54960,6636
150094,6829
5071,5708
11116,55755
8440,221527
1994,81831
29074,29088
54443,55140
91653,55791
8237,57332
131474,5869
1436,8563
3396,7284
5563,10083
5292,660
1153,4927
6453,8867
5496,11075
5356,6636
2099,84181
7158,8350
374291,409
54443,57584
84955,144132
3178,6134
1936,57584
2099,5523
2617,7534
356,79574
57787,5516
27306,9536
3065,8467
64978,54148
4436,3550
375,57584
5144,9590
51222,54815
5500,84988
375,1131
10856,57835
1213,7532
9533,10622
2099,3069
25793,84875
51741,908
10992,9716
11065,51035
23291,51366
79983,91156
3631,6046
8451,11137
27012,9312
10567,6446
6119,57466
5300,839
4809,6629
3002,3482
64080,29085
6386,23138
51259,1315
55810,8379
9342,8775
345,7391
116540,51021
84280,9231
9463,79158
58509,8449
11043,84445
30850,147687
23327,84305
5506,23513
10253,81839
9477,10075
5110,7189
10615,153527
161,1967
4223,8520
128602,337879
8934,79096
51255,81603
5052,117157
51024,10134
5568,5576
6733,23187
6477,9066
148581,6045
396,6612
5728,5608
818,30000
79959,1823
4212,9326
60,8346
93587,10055
1396,475
10594,989
4591,166979
5594,790
4848,9611
3760,3765
64983,65993
1173,9778
5685,5688
8313,154796
1994,9519
55294,23332
10243,221409
10921,163
2010,7409
10482,51428
7257,140710
51255,55823
3442,130507
7014,79665
3265,9687
5152,85291
4118,170482
55832,51187
3184,7419
81631,6294
7531,27018
51755,6631
2521,8349
4005,4478
1647,5465
84062,10615
80011,84464
55749,7157
171568,5437
8216,11059
25885,4691
8545,9533
9702,23215
5250,10527
81603,7737
1051,2099
83987,7284
1994,377
139628,1967
25898,7157
55257,3621
10146,11273
5110,3945
3910,197131
